State,Year,annual_inpatient_stays
Alaska,2013,0.0
Arizona,2013,3385700.0
Arkansas,2013,1691550.0
California,2013,17109100.0
Colorado,2013,2099100.0
Delaware,2013,0.0
Florida,2013,12895050.0
Georgia,2013,4774050.0
Hawaii,2013,557500.0
Illinois,2013,7239600.0
Indiana,2013,3606850.0
Iowa,2013,1509850.0
Kansas,2013,1441250.0
Kentucky,2013,2719700.0
Louisiana,2013,2745500.0
Maine,2013,651900.0
Maryland,2013,3172050.0
Massachusetts,2013,3808300.0
Michigan,2013,5905600.0
Minnesota,2013,2567050.0
Mississippi,2013,1896450.0
Missouri,2013,3948300.0
Montana,2013,473700.0
Nebraska,2013,964250.0
Nevada,2013,1332950.0
New Jersey,2013,4985700.0
New Mexico,2013,899150.0
New York,2013,11569250.0
North Carolina,2013,5064450.0
North Dakota,2013,425900.0
Ohio,2013,7425400.0
Oklahoma,2013,2130400.0
Oregon,2013,1623100.0
Pennsylvania,2013,8246600.0
Rhode Island,2013,577250.0
South Carolina,2013,2509000.0
South Dakota,2013,521700.0
Tennessee,2013,4132950.0
Texas,2013,12803000.0
Utah,2013,1165750.0
Vermont,2013,241150.0
Virginia,2013,3960800.0
Washington,2013,2879750.0
West Virginia,2013,1306250.0
Wisconsin,2013,2869600.0
Wyoming,2013,202850.0
Alaska,2014,0.0
Arizona,2014,3427600.0
Arkansas,2014,1685600.0
California,2014,17233500.0
Colorado,2014,2128750.0
Delaware,2014,0.0
Florida,2014,13073400.0
Georgia,2014,4699600.0
Hawaii,2014,570100.0
Illinois,2014,7197850.0
Indiana,2014,3602350.0
Iowa,2014,1500650.0
Kansas,2014,1437550.0
Kentucky,2014,2708200.0
Louisiana,2014,2841100.0
Maine,2014,649100.0
Maryland,2014,3154350.0
Massachusetts,2014,3843450.0
Michigan,2014,5934650.0
Minnesota,2014,2641350.0
Mississippi,2014,1787550.0
Missouri,2014,3908700.0
Montana,2014,479650.0
Nebraska,2014,914100.0
Nevada,2014,1358300.0
New Jersey,2014,4855700.0
New Mexico,2014,868150.0
New York,2014,11331800.0
North Carolina,2014,4841600.0
North Dakota,2014,401900.0
Ohio,2014,7255500.0
Oklahoma,2014,2125500.0
Oregon,2014,1722850.0
Pennsylvania,2014,8173200.0
Rhode Island,2014,603650.0
South Carolina,2014,2502200.0
South Dakota,2014,501150.0
Tennessee,2014,3865100.0
Texas,2014,12848200.0
Utah,2014,1145250.0
Vermont,2014,230750.0
Virginia,2014,3920100.0
Washington,2014,2898150.0
West Virginia,2014,1262000.0
Wisconsin,2014,2827600.0
Wyoming,2014,196100.0
Alaska,2015,261050.0
Arizona,2015,3366750.0
Arkansas,2015,1701850.0
California,2015,17465150.0
Colorado,2015,2201700.0
Delaware,2015,0.0
Florida,2015,13441450.0
Georgia,2015,4789050.0
Hawaii,2015,601800.0
Illinois,2015,7084550.0
Indiana,2015,3582700.0
Iowa,2015,1531800.0
Kansas,2015,1516100.0
Kentucky,2015,2789000.0
Louisiana,2015,3073000.0
Maine,2015,648700.0
Maryland,2015,3078950.0
Massachusetts,2015,3737200.0
Michigan,2015,5969950.0
Minnesota,2015,2695000.0
Mississippi,2015,1766800.0
Missouri,2015,3923000.0
Montana,2015,500050.0
Nebraska,2015,933250.0
Nevada,2015,1400100.0
New Jersey,2015,4777150.0
New Mexico,2015,872600.0
New York,2015,11325600.0
North Carolina,2015,4898350.0
North Dakota,2015,425150.0
Ohio,2015,7139100.0
Oklahoma,2015,2118500.0
Oregon,2015,1770850.0
Pennsylvania,2015,8032600.0
Rhode Island,2015,612850.0
South Carolina,2015,2550300.0
South Dakota,2015,501650.0
Tennessee,2015,4252700.0
Texas,2015,13165850.0
Utah,2015,1160250.0
Vermont,2015,249350.0
Virginia,2015,3967950.0
Washington,2015,2956350.0
West Virginia,2015,1255100.0
Wisconsin,2015,2848950.0
Wyoming,2015,188350.0
Alaska,2016,271000.0
Arizona,2016,3356600.0
Arkansas,2016,1701650.0
California,2016,17731250.0
Colorado,2016,2247850.0
Delaware,2016,513600.0
Florida,2016,13588450.0
Georgia,2016,4855750.0
Hawaii,2016,581150.0
Illinois,2016,6799950.0
Indiana,2016,3442150.0
Iowa,2016,1500000.0
Kansas,2016,1530550.0
Kentucky,2016,2791850.0
Louisiana,2016,3037350.0
Maine,2016,645400.0
Maryland,2016,3064750.0
Massachusetts,2016,3831500.0
Michigan,2016,6008550.0
Minnesota,2016,2721000.0
Mississippi,2016,1821100.0
Missouri,2016,3941850.0
Montana,2016,491350.0
Nebraska,2016,1002300.0
Nevada,2016,1469600.0
New Jersey,2016,4756800.0
New Mexico,2016,896100.0
New York,2016,11312600.0
North Carolina,2016,4921600.0
North Dakota,2016,456950.0
Ohio,2016,7333150.0
Oklahoma,2016,2112150.0
Oregon,2016,1802300.0
Pennsylvania,2016,8000800.0
Rhode Island,2016,620550.0
South Carolina,2016,2557650.0
South Dakota,2016,493600.0
Tennessee,2016,4223550.0
Texas,2016,13349050.0
Utah,2016,1193450.0
Vermont,2016,252800.0
Virginia,2016,3995650.0
Washington,2016,3048550.0
West Virginia,2016,1208050.0
Wisconsin,2016,2833000.0
Wyoming,2016,204600.0
Alaska,2017,275600.0
Arizona,2017,3249550.0
Arkansas,2017,1718950.0
California,2017,17932800.0
Colorado,2017,2314600.0
Delaware,2017,517650.0
Florida,2017,13680250.0
Georgia,2017,5035800.0
Hawaii,2017,524700.0
Illinois,2017,6840450.0
Indiana,2017,3597300.0
Iowa,2017,1639650.0
Kansas,2017,1575250.0
Kentucky,2017,2808800.0
Louisiana,2017,2894200.0
Maine,2017,649600.0
Maryland,2017,2936050.0
Massachusetts,2017,3851800.0
Michigan,2017,6045400.0
Minnesota,2017,2844100.0
Mississippi,2017,1802900.0
Missouri,2017,3959250.0
Montana,2017,480850.0
Nebraska,2017,1014950.0
Nevada,2017,1497000.0
New Jersey,2017,4539350.0
New Mexico,2017,893600.0
New York,2017,11497000.0
North Carolina,2017,5003450.0
North Dakota,2017,471250.0
Ohio,2017,7422250.0
Oklahoma,2017,2140100.0
Oregon,2017,1816200.0
Pennsylvania,2017,7936350.0
Rhode Island,2017,637600.0
South Carolina,2017,2614950.0
South Dakota,2017,501700.0
Tennessee,2017,4323450.0
Texas,2017,13333150.0
Utah,2017,1196300.0
Vermont,2017,254200.0
