State,Year,state_population
Alabama,2013,4831586
Alabama,2014,4843737
Alabama,2015,4854803
Alabama,2016,4866824
Alabama,2017,4877989
Alabama,2018,4891628
Alabama,2019,4907965
Alabama,2020,4921532
Alabama,2021,5050058
Alabama,2022,5076868
Alabama,2023,5117850
Alaska,2013,737626
Alaska,2014,737075
Alaska,2015,738430
Alaska,2016,742575
Alaska,2017,740983
Alaska,2018,736624
Alaska,2019,733603
Alaska,2020,731158
Alaska,2021,734590
Alaska,2022,733659
Alaska,2023,734654
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2013,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2014,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2015,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2016,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2017,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2018,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2019,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2020,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2021,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2022,
"Annual Estimates of the Resident Population for the United States, Regions, States, the District of Columbia, and Puerto Rico: April 1, 2010 to July 1, 2019; April 1, 2020; and July 1, 2020 (NST-EST2020)",2023,
Arizona,2013,6634690
Arizona,2014,6732873
Arizona,2015,6832810
Arizona,2016,6944767
Arizona,2017,7048088
Arizona,2018,7164228
Arizona,2019,7291843
Arizona,2020,7421401
Arizona,2021,7274022
Arizona,2022,7370065
Arizona,2023,7452073
Arkansas,2013,2960459
Arkansas,2014,2968759
Arkansas,2015,2979732
Arkansas,2016,2991815
Arkansas,2017,3003855
Arkansas,2018,3012161
Arkansas,2019,3020985
Arkansas,2020,3030522
Arkansas,2021,3027127
Arkansas,2022,3047429
Arkansas,2023,3069856
California,2013,38253768
California,2014,38586706
California,2015,38904296
California,2016,39149186
California,2017,39337785
California,2018,39437463
California,2019,39437610
California,2020,39368078
California,2021,39152927
California,2022,39125347
California,2023,39181667
Colorado,2013,5270774
Colorado,2014,5352637
Colorado,2015,5454328
Colorado,2016,5543844
Colorado,2017,5617421
Colorado,2018,5697155
Colorado,2019,5758486
Colorado,2020,5807719
Colorado,2021,5814368
Colorado,2022,5853355
Colorado,2023,5912240
Connecticut,2013,3595792
Connecticut,2014,3595697
Connecticut,2015,3588561
Connecticut,2016,3579830
Connecticut,2017,3575324
Connecticut,2018,3574561
Connecticut,2019,3566022
Connecticut,2020,3557006
Connecticut,2021,3607765
Connecticut,2022,3618707
Connecticut,2023,3641369
Delaware,2013,924062
Delaware,2014,933131
Delaware,2015,942065
Delaware,2016,949989
Delaware,2017,957942
Delaware,2018,966985
Delaware,2019,976668
Delaware,2020,986809
Delaware,2021,1005130
Delaware,2022,1020279
Delaware,2023,1035354
District of Columbia,2013,651559
District of Columbia,2014,663603
District of Columbia,2015,677014
District of Columbia,2016,687576
District of Columbia,2017,697079
District of Columbia,2018,704147
District of Columbia,2019,708253
District of Columbia,2020,712816
District of Columbia,2021,669637
District of Columbia,2022,674501
District of Columbia,2023,682559
Florida,2013,19551678
Florida,2014,19853880
Florida,2015,20219111
Florida,2016,20627237
Florida,2017,20977089
Florida,2018,21254926
Florida,2019,21492056
Florida,2020,21733312
Florida,2021,21836698
Florida,2022,22413989
Florida,2023,22929248
Georgia,2013,9975592
Georgia,2014,10071204
