state,year,suicidal_thoughts,suicidal_thoughts_lag1
Alabama,2013,66.83333333333333,
Alabama,2014,42.083333333333336,66.83333333333333
Alabama,2015,47.25,42.083333333333336
Alabama,2016,52.25,47.25
Alabama,2017,50.833333333333336,52.25
Alabama,2018,65.0,50.833333333333336
Alabama,2019,59.666666666666664,65.0
Alabama,2020,42.25,59.666666666666664
Alabama,2021,31.0,42.25
Alabama,2022,45.666666666666664,31.0
Alabama,2023,41.333333333333336,45.666666666666664
Alaska,2013,16.25,
Alaska,2014,0.0,16.25
Alaska,2015,0.0,0.0
Alaska,2016,0.0,0.0
Alaska,2017,7.666666666666667,0.0
Alaska,2018,0.0,7.666666666666667
Alaska,2019,0.0,0.0
Alaska,2020,0.0,0.0
Alaska,2021,0.0,0.0
Alaska,2022,0.0,0.0
Alaska,2023,0.0,0.0
Arizona,2013,67.75,
Arizona,2014,78.33333333333333,67.75
Arizona,2015,68.66666666666667,78.33333333333333
Arizona,2016,66.75,68.66666666666667
Arizona,2017,64.41666666666667,66.75
Arizona,2018,70.33333333333333,64.41666666666667
Arizona,2019,64.0,70.33333333333333
Arizona,2020,48.833333333333336,64.0
Arizona,2021,52.25,48.833333333333336
Arizona,2022,44.333333333333336,52.25
Arizona,2023,46.416666666666664,44.333333333333336
Arkansas,2013,19.833333333333332,
Arkansas,2014,12.75,19.833333333333332
Arkansas,2015,16.666666666666668,12.75
Arkansas,2016,38.166666666666664,16.666666666666668
Arkansas,2017,25.75,38.166666666666664
Arkansas,2018,29.333333333333332,25.75
Arkansas,2019,29.916666666666668,29.333333333333332
Arkansas,2020,27.75,29.916666666666668
Arkansas,2021,20.0,27.75
Arkansas,2022,23.083333333333332,20.0
Arkansas,2023,21.583333333333332,23.083333333333332
California,2013,88.41666666666667,
California,2014,87.0,88.41666666666667
California,2015,75.91666666666667,87.0
California,2016,71.08333333333333,75.91666666666667
California,2017,74.08333333333333,71.08333333333333
California,2018,74.91666666666667,74.08333333333333
California,2019,63.75,74.91666666666667
California,2020,52.333333333333336,63.75
California,2021,51.75,52.333333333333336
California,2022,51.583333333333336,51.75
California,2023,46.416666666666664,51.583333333333336
Colorado,2013,72.33333333333333,
Colorado,2014,65.66666666666667,72.33333333333333
Colorado,2015,70.75,65.66666666666667
Colorado,2016,54.833333333333336,70.75
Colorado,2017,56.416666666666664,54.833333333333336
Colorado,2018,61.0,56.416666666666664
Colorado,2019,58.166666666666664,61.0
Colorado,2020,49.916666666666664,58.166666666666664
Colorado,2021,44.666666666666664,49.916666666666664
Colorado,2022,44.0,44.666666666666664
Colorado,2023,41.416666666666664,44.0
Connecticut,2013,63.666666666666664,
Connecticut,2014,34.583333333333336,63.666666666666664
Connecticut,2015,41.75,34.583333333333336
Connecticut,2016,49.416666666666664,41.75
Connecticut,2017,40.583333333333336,49.416666666666664
Connecticut,2018,50.416666666666664,40.583333333333336
Connecticut,2019,50.916666666666664,50.416666666666664
Connecticut,2020,43.916666666666664,50.916666666666664
Connecticut,2021,33.5,43.916666666666664
Connecticut,2022,34.916666666666664,33.5
Connecticut,2023,31.333333333333332,34.916666666666664
Delaware,2013,0.0,
Delaware,2014,0.0,0.0
Delaware,2015,0.0,0.0
Delaware,2016,0.0,0.0
Delaware,2017,8.333333333333334,0.0
Delaware,2018,6.916666666666667,8.333333333333334
Delaware,2019,0.0,6.916666666666667
Delaware,2020,0.0,0.0
Delaware,2021,0.0,0.0
Delaware,2022,5.25,0.0
Delaware,2023,0.0,5.25
District of Columbia,2013,21.0,
District of Columbia,2014,26.416666666666668,21.0
District of Columbia,2015,46.5,26.416666666666668
District of Columbia,2016,38.416666666666664,46.5
District of Columbia,2017,25.333333333333332,38.416666666666664
District of Columbia,2018,0.0,25.333333333333332
District of Columbia,2019,0.0,0.0
District of Columbia,2020,0.0,0.0
District of Columbia,2021,5.666666666666667,0.0
District of Columbia,2022,8.333333333333334,5.666666666666667
District of Columbia,2023,7.583333333333333,8.333333333333334
Florida,2013,83.83333333333333,
Florida,2014,78.0,83.83333333333333
Florida,2015,65.58333333333333,78.0
Florida,2016,58.166666666666664,65.58333333333333
Florida,2017,57.75,58.166666666666664
Florida,2018,62.583333333333336,57.75
Florida,2019,54.75,62.583333333333336
Florida,2020,43.166666666666664,54.75
Florida,2021,43.916666666666664,43.166666666666664
Florida,2022,41.833333333333336,43.916666666666664
Florida,2023,39.583333333333336,41.833333333333336
Georgia,2013,75.5,
Georgia,2014,74.66666666666667,75.5
Georgia,2015,70.0,74.66666666666667
Georgia,2016,62.333333333333336,70.0
Georgia,2017,65.0,62.333333333333336
Georgia,2018,66.58333333333333,65.0
Georgia,2019,56.833333333333336,66.58333333333333
Georgia,2020,47.916666666666664,56.833333333333336
Georgia,2021,50.5,47.916666666666664
Georgia,2022,47.583333333333336,50.5
Georgia,2023,43.75,47.583333333333336
Hawaii,2013,8.333333333333334,
Hawaii,2014,11.833333333333334,8.333333333333334
Hawaii,2015,0.0,11.833333333333334
Hawaii,2016,0.0,0.0
Hawaii,2017,0.0,0.0
Hawaii,2018,4.0,0.0
Hawaii,2019,0.0,4.0
Hawaii,2020,0.0,0.0
Hawaii,2021,0.0,0.0
Hawaii,2022,0.0,0.0
Hawaii,2023,0.0,0.0
Idaho,2013,0.0,
Idaho,2014,7.166666666666667,0.0
Idaho,2015,6.25,7.166666666666667
Idaho,2016,5.916666666666667,6.25
Idaho,2017,32.666666666666664,5.916666666666667
Idaho,2018,13.0,32.666666666666664
Idaho,2019,21.083333333333332,13.0
Idaho,2020,7.333333333333333,21.083333333333332
Idaho,2021,4.25,7.333333333333333
Idaho,2022,10.333333333333334,4.25
Idaho,2023,4.166666666666667,10.333333333333334
Illinois,2013,76.08333333333333,
Illinois,2014,78.16666666666667,76.08333333333333
Illinois,2015,69.33333333333333,78.16666666666667
Illinois,2016,63.166666666666664,69.33333333333333
Illinois,2017,59.416666666666664,63.166666666666664
Illinois,2018,62.083333333333336,59.416666666666664
Illinois,2019,56.583333333333336,62.083333333333336
Illinois,2020,45.333333333333336,56.583333333333336
Illinois,2021,46.5,45.333333333333336
Illinois,2022,43.75,46.5
Illinois,2023,44.5,43.75
Indiana,2013,58.416666666666664,
Indiana,2014,59.5,58.416666666666664
Indiana,2015,55.25,59.5
Indiana,2016,51.166666666666664,55.25
Indiana,2017,50.916666666666664,51.166666666666664
Indiana,2018,55.083333333333336,50.916666666666664
Indiana,2019,47.416666666666664,55.083333333333336
Indiana,2020,40.5,47.416666666666664
Indiana,2021,40.5,40.5
Indiana,2022,39.666666666666664,40.5
Indiana,2023,37.75,39.666666666666664
Iowa,2013,42.75,
Iowa,2014,21.083333333333332,42.75
Iowa,2015,25.5,21.083333333333332
Iowa,2016,44.333333333333336,25.5
Iowa,2017,19.833333333333332,44.333333333333336
Iowa,2018,37.666666666666664,19.833333333333332
Iowa,2019,46.416666666666664,37.666666666666664
Iowa,2020,33.833333333333336,46.416666666666664
Iowa,2021,20.583333333333332,33.833333333333336
Iowa,2022,31.333333333333332,20.583333333333332
Iowa,2023,23.916666666666668,31.333333333333332
Kansas,2013,55.5,
Kansas,2014,53.25,55.5
Kansas,2015,18.083333333333332,53.25
Kansas,2016,31.416666666666668,18.083333333333332
Kansas,2017,44.166666666666664,31.416666666666668
Kansas,2018,59.583333333333336,44.166666666666664
Kansas,2019,47.333333333333336,59.583333333333336
Kansas,2020,37.333333333333336,47.333333333333336
Kansas,2021,32.75,37.333333333333336
Kansas,2022,24.0,32.75
Kansas,2023,23.25,24.0
Kentucky,2013,51.75,
Kentucky,2014,65.66666666666667,51.75
Kentucky,2015,40.75,65.66666666666667
